@@,item,name,party,partylabel,area,arealabel,startdate,enddate,gender
->,Q111341017,Brigitte Emabot,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,NULL->female
->,Q111342548,Caroline Mbiyebe,Q1470113,SDF,,NULL->NORTH-WEST,2013-10-29,2019-12-29,NULL->female
->,Q111341064,Catherine Épse Mfoula Mballa Ngoro,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->female
---,Q4160254,Cavayé Yéguié Djibril,Q953447,RDPC,,,2013-10-29,2019-12-29,male
->,Q111342344,Clarah Aley Eyabi,Q953447,RDPC->CPDM,,NULL->SOUTH-WEST,2013-10-29,2019-12-29,NULL->female
---,Q16269686,Claude Juimo Siewe Monthé,Q953447,RDPC,,,2013-10-29,2019-12-29,male
->,Q111341100,Daniel Etongo Ngalle,Q953447,RDPC->CPDM,,NULL->EAST,2013-10-29,2019-12-29,NULL->male
->,Q111341002,Dimbele Boui,Q953447,RDPC->CPDM,,NULL->EAST,2013-10-29,2019-12-29,NULL->male
+++,"",Djibrilla Kaoua,Q953447,CPDM,"",ADAMAWA,"","",male
---,Q111341010,Djomgoue Paul Eric,Q953447,RDPC,,,2013-10-29,2019-12-29,
---,Q111341012,Dooh Collins Albert Kouoh,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111342501,Dope Honorine Épse Assognlebot,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->female
->,Q111342503,Dougouf Djonkio Ali,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,NULL->male
->,Q111341013,Douvaouissa Aissa Hamadi,Q6979097,UNDP->NUDP,,NULL->FAR-NORTH,2013-10-29,2019-12-29,
->,Q111342504,Dzite Épse Ngassam Thérèse,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,NULL->female
->,Q111342505,Edena Enih Mbah,Q1470113,SDF,,NULL->NORTH-WEST,2013-10-29,2019-12-29,
->,Q111341016,Elise Ndongo Moutome Épse Pokossy Ndoumbe,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,NULL->female
---,Q106576581,Emilia Monjowa Lifaka,Q953447,RDPC,,,2013-10-29,2019-12-29,female
->,Q111340985,Emmanual Banmi Dingha,Q953447,RDPC->CPDM,,NULL->NORTH-WEST,2013-10-29,2019-12-29,NULL->male
->,Q111342547,Emmanuel Mbiam,Q953447,RDPC->CPDM,,NULL->SOUTH,2013-10-29,2019-12-29,NULL->male
+++,"",Enow Etoundi,Q953447,CPDM,"",NORTH-WEST,"","",male
